Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4999,
Trigger Level,5.200E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,2.000E-01,
Vertical Position,-2.856E+00,
Horizontal Units,S,
Horizontal Scale,1.000E-05,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-08,
Horizontal Old Scale,1.000E-05,
Horizontal Old Position,0.000E+00,
Firmware,V1.29,
Mode,Detail,
Waveform Data,
-4.789000e-05,3.26e+00,
-4.788000e-05,3.26e+00,
-4.787000e-05,3.26e+00,
-4.786000e-05,3.26e+00,
-4.785000e-05,3.26e+00,
-4.784000e-05,3.26e+00,
-4.783000e-05,3.26e+00,
-4.782000e-05,3.26e+00,
-4.781000e-05,3.26e+00,
-4.780000e-05,3.26e+00,
-4.779000e-05,3.26e+00,
-4.778000e-05,3.26e+00,
-4.777000e-05,3.26e+00,
-4.776000e-05,3.26e+00,
-4.775000e-05,3.26e+00,
-4.774000e-05,3.26e+00,
-4.773000e-05,3.26e+00,
-4.772000e-05,3.26e+00,
-4.771000e-05,3.26e+00,
-4.770000e-05,3.26e+00,
-4.769000e-05,3.26e+00,
-4.768000e-05,3.26e+00,
-4.767000e-05,3.26e+00,
-4.766000e-05,3.26e+00,
-4.765000e-05,3.26e+00,
-4.764000e-05,3.26e+00,
-4.763000e-05,3.26e+00,
-4.762000e-05,3.26e+00,
-4.761000e-05,3.26e+00,
-4.760000e-05,3.26e+00,
-4.759000e-05,3.26e+00,
-4.758000e-05,3.26e+00,
-4.757000e-05,3.26e+00,
-4.756000e-05,3.26e+00,
-4.755000e-05,3.26e+00,
-4.754000e-05,3.26e+00,
-4.753000e-05,3.26e+00,
-4.752000e-05,3.26e+00,
-4.751000e-05,3.26e+00,
-4.750000e-05,3.26e+00,
-4.749000e-05,3.26e+00,
-4.748000e-05,3.26e+00,
-4.747000e-05,3.26e+00,
-4.746000e-05,3.26e+00,
-4.745000e-05,3.26e+00,
-4.744000e-05,3.26e+00,
-4.743000e-05,3.26e+00,
-4.742000e-05,3.26e+00,
-4.741000e-05,3.26e+00,
-4.740000e-05,3.26e+00,
-4.739000e-05,3.26e+00,
-4.738000e-05,3.26e+00,
-4.737000e-05,3.26e+00,
-4.736000e-05,3.26e+00,
-4.735000e-05,3.26e+00,
-4.734000e-05,3.26e+00,
-4.733000e-05,3.26e+00,
-4.732000e-05,3.26e+00,
-4.731000e-05,3.26e+00,
-4.730000e-05,3.26e+00,
-4.729000e-05,3.26e+00,
-4.728000e-05,3.26e+00,
-4.727000e-05,3.26e+00,
-4.726000e-05,3.26e+00,
-4.725000e-05,3.26e+00,
-4.724000e-05,3.26e+00,
-4.723000e-05,3.26e+00,
-4.722000e-05,3.26e+00,
-4.721000e-05,3.26e+00,
-4.720000e-05,3.26e+00,
-4.719000e-05,3.26e+00,
-4.718000e-05,3.26e+00,
-4.717000e-05,3.26e+00,
-4.716000e-05,3.26e+00,
-4.715000e-05,3.26e+00,
-4.714000e-05,3.26e+00,
-4.713000e-05,3.26e+00,
-4.712000e-05,3.26e+00,
-4.711000e-05,3.26e+00,
-4.710000e-05,3.26e+00,
-4.709000e-05,3.26e+00,
-4.708000e-05,3.26e+00,
-4.707000e-05,3.26e+00,
-4.706000e-05,3.26e+00,
-4.705000e-05,3.26e+00,
-4.704000e-05,3.26e+00,
-4.703000e-05,3.26e+00,
-4.702000e-05,3.26e+00,
-4.701000e-05,3.26e+00,
-4.700000e-05,3.26e+00,
-4.699000e-05,3.26e+00,
-4.698000e-05,3.26e+00,
-4.697000e-05,3.26e+00,
-4.696000e-05,3.26e+00,
-4.695000e-05,3.26e+00,
-4.694000e-05,3.26e+00,
-4.693000e-05,3.26e+00,
-4.692000e-05,3.26e+00,
-4.691000e-05,3.26e+00,
-4.690000e-05,3.26e+00,
-4.689000e-05,3.26e+00,
-4.688000e-05,3.26e+00,
-4.687000e-05,3.26e+00,
-4.686000e-05,3.26e+00,
-4.685000e-05,3.26e+00,
-4.684000e-05,3.26e+00,
-4.683000e-05,3.26e+00,
-4.682000e-05,3.26e+00,
-4.681000e-05,3.26e+00,
-4.680000e-05,3.26e+00,
-4.679000e-05,3.26e+00,
-4.678000e-05,3.26e+00,
-4.677000e-05,3.26e+00,
-4.676000e-05,3.26e+00,
-4.675000e-05,3.26e+00,
-4.674000e-05,3.26e+00,
-4.673000e-05,3.26e+00,
-4.672000e-05,3.26e+00,
-4.671000e-05,3.26e+00,
-4.670000e-05,3.26e+00,
-4.669000e-05,3.26e+00,
-4.668000e-05,3.26e+00,
-4.667000e-05,3.26e+00,
-4.666000e-05,3.26e+00,
-4.665000e-05,3.26e+00,
-4.664000e-05,3.26e+00,
-4.663000e-05,3.26e+00,
-4.662000e-05,3.26e+00,
-4.661000e-05,3.26e+00,
-4.660000e-05,3.26e+00,
-4.659000e-05,3.26e+00,
-4.658000e-05,3.26e+00,
-4.657000e-05,3.26e+00,
-4.656000e-05,3.26e+00,
-4.655000e-05,3.26e+00,
-4.654000e-05,3.26e+00,
-4.653000e-05,3.26e+00,
-4.652000e-05,3.26e+00,
-4.651000e-05,3.26e+00,
-4.650000e-05,3.26e+00,
-4.649000e-05,3.26e+00,
-4.648000e-05,3.26e+00,
-4.647000e-05,3.26e+00,
-4.646000e-05,3.26e+00,
-4.645000e-05,3.26e+00,
-4.644000e-05,3.26e+00,
-4.643000e-05,3.26e+00,
-4.642000e-05,3.26e+00,
-4.641000e-05,3.26e+00,
-4.640000e-05,3.26e+00,
-4.639000e-05,3.26e+00,
-4.638000e-05,3.26e+00,
-4.637000e-05,3.26e+00,
-4.636000e-05,3.26e+00,
-4.635000e-05,3.26e+00,
-4.634000e-05,3.26e+00,
-4.633000e-05,3.26e+00,
-4.632000e-05,3.26e+00,
-4.631000e-05,3.26e+00,
-4.630000e-05,3.26e+00,
-4.629000e-05,3.26e+00,
-4.628000e-05,3.26e+00,
-4.627000e-05,3.26e+00,
-4.626000e-05,3.26e+00,
-4.625000e-05,3.26e+00,
-4.624000e-05,3.26e+00,
-4.623000e-05,3.26e+00,
-4.622000e-05,3.26e+00,
-4.621000e-05,3.26e+00,
-4.620000e-05,3.26e+00,
-4.619000e-05,3.26e+00,
-4.618000e-05,3.26e+00,
-4.617000e-05,3.26e+00,
-4.616000e-05,3.26e+00,
-4.615000e-05,3.26e+00,
-4.614000e-05,3.26e+00,
-4.613000e-05,3.26e+00,
-4.612000e-05,3.26e+00,
-4.611000e-05,3.26e+00,
-4.610000e-05,3.26e+00,
-4.609000e-05,3.26e+00,
-4.608000e-05,3.26e+00,
-4.607000e-05,3.26e+00,
-4.606000e-05,3.26e+00,
-4.605000e-05,3.26e+00,
-4.604000e-05,3.26e+00,
-4.603000e-05,3.26e+00,
-4.602000e-05,3.26e+00,
-4.601000e-05,3.26e+00,
-4.600000e-05,3.26e+00,
-4.599000e-05,3.26e+00,
-4.598000e-05,3.26e+00,
-4.597000e-05,3.26e+00,
-4.596000e-05,3.26e+00,
-4.595000e-05,3.26e+00,
-4.594000e-05,3.26e+00,
-4.593000e-05,3.26e+00,
-4.592000e-05,3.26e+00,
-4.591000e-05,3.26e+00,
-4.590000e-05,3.26e+00,
-4.589000e-05,3.26e+00,
-4.588000e-05,3.26e+00,
-4.587000e-05,3.26e+00,
-4.586000e-05,3.26e+00,
-4.585000e-05,3.26e+00,
-4.584000e-05,3.26e+00,
-4.583000e-05,3.26e+00,
-4.582000e-05,3.26e+00,
-4.581000e-05,3.26e+00,
-4.580000e-05,3.26e+00,
-4.579000e-05,3.26e+00,
-4.578000e-05,3.26e+00,
-4.577000e-05,3.26e+00,
-4.576000e-05,3.26e+00,
-4.575000e-05,3.26e+00,
-4.574000e-05,3.26e+00,
-4.573000e-05,3.26e+00,
-4.572000e-05,3.26e+00,
-4.571000e-05,3.26e+00,
-4.570000e-05,3.26e+00,
-4.569000e-05,3.26e+00,
-4.568000e-05,3.26e+00,
-4.567000e-05,3.26e+00,
-4.566000e-05,3.26e+00,
-4.565000e-05,3.26e+00,
-4.564000e-05,3.26e+00,
-4.563000e-05,3.26e+00,
-4.562000e-05,3.26e+00,
-4.561000e-05,3.26e+00,
-4.560000e-05,3.26e+00,
-4.559000e-05,3.26e+00,
-4.558000e-05,3.26e+00,
-4.557000e-05,3.26e+00,
-4.556000e-05,3.26e+00,
-4.555000e-05,3.26e+00,
-4.554000e-05,3.26e+00,
-4.553000e-05,3.26e+00,
-4.552000e-05,3.26e+00,
-4.551000e-05,3.26e+00,
-4.550000e-05,3.26e+00,
-4.549000e-05,3.26e+00,
-4.548000e-05,3.26e+00,
-4.547000e-05,3.26e+00,
-4.546000e-05,3.26e+00,
-4.545000e-05,3.26e+00,
-4.544000e-05,3.26e+00,
-4.543000e-05,3.26e+00,
-4.542000e-05,3.26e+00,
-4.541000e-05,3.26e+00,
-4.540000e-05,3.26e+00,
-4.539000e-05,3.26e+00,
-4.538000e-05,3.26e+00,
-4.537000e-05,3.26e+00,
-4.536000e-05,3.26e+00,
-4.535000e-05,3.26e+00,
-4.534000e-05,3.26e+00,
-4.533000e-05,3.26e+00,
-4.532000e-05,3.26e+00,
-4.531000e-05,3.26e+00,
-4.530000e-05,3.26e+00,
-4.529000e-05,3.26e+00,
-4.528000e-05,3.26e+00,
-4.527000e-05,3.26e+00,
-4.526000e-05,3.26e+00,
-4.525000e-05,3.26e+00,
-4.524000e-05,3.26e+00,
-4.523000e-05,3.26e+00,
-4.522000e-05,3.26e+00,
-4.521000e-05,3.26e+00,
-4.520000e-05,3.26e+00,
-4.519000e-05,3.26e+00,
-4.518000e-05,3.26e+00,
-4.517000e-05,3.26e+00,
-4.516000e-05,3.26e+00,
-4.515000e-05,3.26e+00,
-4.514000e-05,3.26e+00,
-4.513000e-05,3.26e+00,
-4.512000e-05,3.26e+00,
-4.511000e-05,3.26e+00,
-4.510000e-05,3.26e+00,
-4.509000e-05,3.26e+00,
-4.508000e-05,3.26e+00,
-4.507000e-05,3.26e+00,
-4.506000e-05,3.26e+00,
-4.505000e-05,3.26e+00,
-4.504000e-05,3.26e+00,
-4.503000e-05,3.26e+00,
-4.502000e-05,3.26e+00,
-4.501000e-05,3.26e+00,
-4.500000e-05,3.26e+00,
-4.499000e-05,3.26e+00,
-4.498000e-05,3.26e+00,
-4.497000e-05,3.26e+00,
-4.496000e-05,3.26e+00,
-4.495000e-05,3.26e+00,
-4.494000e-05,3.26e+00,
-4.493000e-05,3.26e+00,
-4.492000e-05,3.26e+00,
-4.491000e-05,3.26e+00,
-4.490000e-05,3.26e+00,
-4.489000e-05,3.26e+00,
-4.488000e-05,3.26e+00,
-4.487000e-05,3.26e+00,
-4.486000e-05,3.26e+00,
-4.485000e-05,3.26e+00,
-4.484000e-05,3.26e+00,
-4.483000e-05,3.26e+00,
-4.482000e-05,3.26e+00,
-4.481000e-05,3.26e+00,
-4.480000e-05,3.26e+00,
-4.479000e-05,3.26e+00,
-4.478000e-05,3.26e+00,
-4.477000e-05,3.26e+00,
-4.476000e-05,3.26e+00,
-4.475000e-05,3.26e+00,
-4.474000e-05,3.26e+00,
-4.473000e-05,3.26e+00,
-4.472000e-05,3.26e+00,
-4.471000e-05,3.26e+00,
-4.470000e-05,3.26e+00,
-4.469000e-05,3.26e+00,
-4.468000e-05,3.26e+00,
-4.467000e-05,3.26e+00,
-4.466000e-05,3.26e+00,
-4.465000e-05,3.26e+00,
-4.464000e-05,3.26e+00,
-4.463000e-05,3.26e+00,
-4.462000e-05,3.26e+00,
-4.461000e-05,3.26e+00,
-4.460000e-05,3.26e+00,
-4.459000e-05,3.26e+00,
-4.458000e-05,3.26e+00,
-4.457000e-05,3.26e+00,
-4.456000e-05,3.26e+00,
-4.455000e-05,3.26e+00,
-4.454000e-05,3.26e+00,
-4.453000e-05,3.26e+00,
-4.452000e-05,3.26e+00,
-4.451000e-05,3.26e+00,
-4.450000e-05,3.26e+00,
-4.449000e-05,3.26e+00,
-4.448000e-05,3.26e+00,
-4.447000e-05,3.26e+00,
-4.446000e-05,3.26e+00,
-4.445000e-05,3.26e+00,
-4.444000e-05,3.26e+00,
-4.443000e-05,3.26e+00,
-4.442000e-05,3.26e+00,
-4.441000e-05,3.26e+00,
-4.440000e-05,3.26e+00,
-4.439000e-05,3.26e+00,
-4.438000e-05,3.26e+00,
-4.437000e-05,3.26e+00,
-4.436000e-05,3.26e+00,
-4.435000e-05,3.26e+00,
-4.434000e-05,3.26e+00,
-4.433000e-05,3.26e+00,
-4.432000e-05,3.26e+00,
-4.431000e-05,3.26e+00,
-4.430000e-05,3.26e+00,
-4.429000e-05,3.26e+00,
-4.428000e-05,3.26e+00,
-4.427000e-05,3.26e+00,
-4.426000e-05,3.26e+00,
-4.425000e-05,3.26e+00,
-4.424000e-05,3.26e+00,
-4.423000e-05,3.26e+00,
-4.422000e-05,3.26e+00,
-4.421000e-05,3.26e+00,
-4.420000e-05,3.26e+00,
-4.419000e-05,3.26e+00,
-4.418000e-05,3.26e+00,
-4.417000e-05,3.26e+00,
-4.416000e-05,3.26e+00,
-4.415000e-05,3.26e+00,
-4.414000e-05,3.26e+00,
-4.413000e-05,3.26e+00,
-4.412000e-05,3.26e+00,
-4.411000e-05,3.26e+00,
-4.410000e-05,3.26e+00,
-4.409000e-05,3.26e+00,
-4.408000e-05,3.26e+00,
-4.407000e-05,3.26e+00,
-4.406000e-05,3.26e+00,
-4.405000e-05,3.26e+00,
-4.404000e-05,3.26e+00,
-4.403000e-05,3.26e+00,
-4.402000e-05,3.26e+00,
-4.401000e-05,3.26e+00,
-4.400000e-05,3.26e+00,
-4.399000e-05,3.26e+00,
-4.398000e-05,3.26e+00,
-4.397000e-05,3.26e+00,
-4.396000e-05,3.26e+00,
-4.395000e-05,3.26e+00,
-4.394000e-05,3.26e+00,
-4.393000e-05,3.26e+00,
-4.392000e-05,3.26e+00,
-4.391000e-05,3.26e+00,
-4.390000e-05,3.26e+00,
-4.389000e-05,3.26e+00,
-4.388000e-05,3.26e+00,
-4.387000e-05,3.26e+00,
-4.386000e-05,3.26e+00,
-4.385000e-05,3.26e+00,
-4.384000e-05,3.26e+00,
-4.383000e-05,3.26e+00,
-4.382000e-05,3.26e+00,
-4.381000e-05,3.26e+00,
-4.380000e-05,3.26e+00,
-4.379000e-05,3.26e+00,
-4.378000e-05,3.26e+00,
-4.377000e-05,3.26e+00,
-4.376000e-05,3.26e+00,
-4.375000e-05,3.26e+00,
-4.374000e-05,3.26e+00,
-4.373000e-05,3.26e+00,
-4.372000e-05,3.26e+00,
-4.371000e-05,3.26e+00,
-4.370000e-05,3.26e+00,
-4.369000e-05,3.26e+00,
-4.368000e-05,3.26e+00,
-4.367000e-05,3.26e+00,
-4.366000e-05,3.26e+00,
-4.365000e-05,3.26e+00,
-4.364000e-05,3.26e+00,
-4.363000e-05,3.26e+00,
-4.362000e-05,3.26e+00,
-4.361000e-05,3.26e+00,
-4.360000e-05,3.26e+00,
-4.359000e-05,3.26e+00,
-4.358000e-05,3.26e+00,
-4.357000e-05,3.26e+00,
-4.356000e-05,3.26e+00,
-4.355000e-05,3.26e+00,
-4.354000e-05,3.26e+00,
-4.353000e-05,3.26e+00,
-4.352000e-05,3.26e+00,
-4.351000e-05,3.26e+00,
-4.350000e-05,3.26e+00,
-4.349000e-05,3.26e+00,
-4.348000e-05,3.26e+00,
-4.347000e-05,3.26e+00,
-4.346000e-05,3.26e+00,
-4.345000e-05,3.26e+00,
-4.344000e-05,3.26e+00,
-4.343000e-05,3.26e+00,
-4.342000e-05,3.26e+00,
-4.341000e-05,3.26e+00,
-4.340000e-05,3.26e+00,
-4.339000e-05,3.26e+00,
-4.338000e-05,3.26e+00,
-4.337000e-05,3.26e+00,
-4.336000e-05,3.26e+00,
-4.335000e-05,3.26e+00,
-4.334000e-05,3.26e+00,
-4.333000e-05,3.26e+00,
-4.332000e-05,3.26e+00,
-4.331000e-05,3.26e+00,
-4.330000e-05,3.26e+00,
-4.329000e-05,3.26e+00,
-4.328000e-05,3.26e+00,
-4.327000e-05,3.26e+00,
-4.326000e-05,3.26e+00,
-4.325000e-05,3.26e+00,
-4.324000e-05,3.26e+00,
-4.323000e-05,3.26e+00,
-4.322000e-05,3.26e+00,
-4.321000e-05,3.26e+00,
-4.320000e-05,3.26e+00,
-4.319000e-05,3.26e+00,
-4.318000e-05,3.26e+00,
-4.317000e-05,3.26e+00,
-4.316000e-05,3.26e+00,
-4.315000e-05,3.26e+00,
-4.314000e-05,3.26e+00,
-4.313000e-05,3.26e+00,
-4.312000e-05,3.26e+00,
-4.311000e-05,3.26e+00,
-4.310000e-05,3.26e+00,
-4.309000e-05,3.26e+00,
-4.308000e-05,3.26e+00,
-4.307000e-05,3.26e+00,
-4.306000e-05,3.26e+00,
-4.305000e-05,3.26e+00,
-4.304000e-05,3.26e+00,
-4.303000e-05,3.26e+00,
-4.302000e-05,3.26e+00,
-4.301000e-05,3.26e+00,
-4.300000e-05,3.26e+00,
-4.299000e-05,3.26e+00,
-4.298000e-05,3.26e+00,
-4.297000e-05,3.26e+00,
-4.296000e-05,3.26e+00,
-4.295000e-05,3.26e+00,
-4.294000e-05,3.26e+00,
-4.293000e-05,3.26e+00,
-4.292000e-05,3.26e+00,
-4.291000e-05,3.26e+00,
-4.290000e-05,3.26e+00,
-4.289000e-05,3.26e+00,
-4.288000e-05,3.26e+00,
-4.287000e-05,3.26e+00,
-4.286000e-05,3.26e+00,
-4.285000e-05,3.26e+00,
-4.284000e-05,3.26e+00,
-4.283000e-05,3.26e+00,
-4.282000e-05,3.26e+00,
-4.281000e-05,3.26e+00,
-4.280000e-05,3.26e+00,
-4.279000e-05,3.26e+00,
-4.278000e-05,3.26e+00,
-4.277000e-05,3.26e+00,
-4.276000e-05,3.26e+00,
-4.275000e-05,3.26e+00,
-4.274000e-05,3.26e+00,
-4.273000e-05,3.26e+00,
-4.272000e-05,3.26e+00,
-4.271000e-05,3.26e+00,
-4.270000e-05,3.26e+00,
-4.269000e-05,3.26e+00,
-4.268000e-05,3.26e+00,
-4.267000e-05,3.26e+00,
-4.266000e-05,3.26e+00,
-4.265000e-05,3.26e+00,
-4.264000e-05,3.26e+00,
-4.263000e-05,3.26e+00,
-4.262000e-05,3.26e+00,
-4.261000e-05,3.26e+00,
-4.260000e-05,3.26e+00,
-4.259000e-05,3.26e+00,
-4.258000e-05,3.26e+00,
-4.257000e-05,3.26e+00,
-4.256000e-05,3.26e+00,
-4.255000e-05,3.26e+00,
-4.254000e-05,3.26e+00,
-4.253000e-05,3.26e+00,
-4.252000e-05,3.26e+00,
-4.251000e-05,3.26e+00,
-4.250000e-05,3.26e+00,
-4.249000e-05,3.26e+00,
-4.248000e-05,3.26e+00,
-4.247000e-05,3.26e+00,
-4.246000e-05,3.26e+00,
-4.245000e-05,3.26e+00,
-4.244000e-05,3.26e+00,
-4.243000e-05,3.26e+00,
-4.242000e-05,3.26e+00,
-4.241000e-05,3.26e+00,
-4.240000e-05,3.26e+00,
-4.239000e-05,3.26e+00,
-4.238000e-05,3.26e+00,
-4.237000e-05,3.26e+00,
-4.236000e-05,3.26e+00,
-4.235000e-05,3.26e+00,
-4.234000e-05,3.26e+00,
-4.233000e-05,3.26e+00,
-4.232000e-05,3.26e+00,
-4.231000e-05,3.26e+00,
-4.230000e-05,3.26e+00,
-4.229000e-05,3.26e+00,
-4.228000e-05,3.26e+00,
-4.227000e-05,3.26e+00,
-4.226000e-05,3.26e+00,
-4.225000e-05,3.26e+00,
-4.224000e-05,3.26e+00,
-4.223000e-05,3.26e+00,
-4.222000e-05,3.26e+00,
-4.221000e-05,3.26e+00,
-4.220000e-05,3.26e+00,
-4.219000e-05,3.26e+00,
-4.218000e-05,3.26e+00,
-4.217000e-05,3.26e+00,
-4.216000e-05,3.26e+00,
-4.215000e-05,3.26e+00,
